name,isin,symbol,market
EDP RENOVAVEIS,ES0127797019,EDPR,Euronext Lisbon
EDUNIVERSAL,FR0010439265,MLEDU,Euronext Access Paris
EES,FR0010945733,MLEES,Euronext Access Paris
EFIC1 ORD SHARES,NL00150006Z9,EFIC1,Euronext Amsterdam
EFIC1 TREASURY SH,NL00150009J7,EFICT,Euronext Amsterdam
EFIC1 WARRANTS,NL00150007A0,EFICW,Euronext Amsterdam
EGIDE,FR0000072373,GID,Euronext Paris
EHC ORD SHARES,NL0015000K10,EHCS,Euronext Amsterdam
EHC TREAS SHARES,NL0015000K02,EHCT,Euronext Amsterdam
EHC WARRANTS,NL0015000K28,EHCW,Euronext Amsterdam
EIFFAGE,FR0000130452,FGR,Euronext Paris
EKINOPS,FR0011466069,EKI,Euronext Paris
EKOPAK,BE0974380124,EKOP,Euronext Brussels
ELEC.STRASBOURG,FR0000031023,ELEC,Euronext Paris
ELECT. MADAGASCAR,FR0000035719,EEM,Euronext Paris
ELEKTROIMPORTØREN,NO0010911902,ELIMP,Euronext Growth Oslo
ELIA GROUP,BE0003822393,ELI,Euronext Brussels
ELIOR GROUP,FR0011950732,ELIOR,Euronext Paris
ELIS,FR0012435121,ELIS,Euronext Paris
ELLIPTIC LABORATOR,NO0010722283,ELABS,Euronext Growth Oslo
ELOP,NO0010864036,ELOP,Euronext Growth Oslo
EMD MUSIC,BE0003849669,EMD,Euronext Expert Market
EMOVA GROUP,FR0013356755,ALEMV,Euronext Growth Paris
ENCRES DUBUIT,FR0004030708,ALDUB,Euronext Growth Paris
ENENSYS,FR0013330792,ALNN6,Euronext Growth Paris
ENERGISME,FR0013399359,ALNRG,Euronext Growth Paris
ENERTIME,FR0011915339,ALENE,Euronext Growth Paris
ENGAGE XR HOLDINGS,IE00BG0HDR01,EXR,Euronext Growth Dublin
ENGIE,FR0010208488,ENGI,Euronext Paris
ENOGIA,FR0014004974,ALENO,Euronext Growth Paris
ENTECH,FR0014004362,ALESE,Euronext Growth Paris
ENTP ORD SHARES,NL0015000F82,ENTPA,Euronext Amsterdam
ENTP TREAS SHARES,NL0015000F90,ENTPT,Euronext Amsterdam
ENTP WARRANTS,NL0015000FD2,ENTPW,Euronext Amsterdam
ENTREPARTICULIERS,FR0010424697,ALENT,Euronext Growth Paris
ENTREPRENDRE,FR0000045122,ALENR,Euronext Growth Paris
ENVEA,FR0010278762,ALTEV,Euronext Growth Paris
ENVIPCO,NL0015000GX8,ENVI,Euronext Amsterdam
ENVIPCO HOLDING,NL0015000GX8,ENVIP,Euronext Growth Oslo
EO2,FR0010465534,ALEO2,Euronext Growth Paris
EPIC Ord Shares,KYG3166N1060,EPIC,Euronext Amsterdam
EPIC WARRANTS,KYG3166N1144,EPICW,Euronext Amsterdam
ERAMET,FR0000131757,ERA,Euronext Paris
ERYTECH PHARMA,FR0011471135,ERYP,Euronext Paris
ESG CORE INVEST,NL00150006O3,ESG,Euronext Amsterdam
ESG CORE TREAS SHA,NL00150006Q8,ESGT,Euronext Amsterdam
ESG CORE WARRANTS,NL00150006P0,ESGWA,Euronext Amsterdam
ESI GROUP,FR0004110310,ESI,Euronext Paris
ESKER,FR0000035818,ALESK,Euronext Growth Paris
ESPERITE,NL0009272137,ESP,Euronext Amsterdam
ESSILORLUXOTTICA,FR0000121667,EL,Euronext Paris
ESSO,FR0000120669,ES,Euronext Paris
ESTORIL SOL N,PTESO0AM0000,ESON,Euronext Lisbon
EURASIA FONC INV,FR0000061475,EFI,Euronext Paris
EURASIA GROUPE,FR0010844001,ALEUA,Euronext Growth Paris
EURAZEO,FR0000121121,RF,Euronext Paris
EURO RESSOURCES,FR0000054678,EUR,Euronext Paris
EUROBIO-SCIENTIFIC,FR0013240934,ALERS,Euronext Growth Paris
EUROCASTLE INVEST.,GB00B94QM994,ECT,Euronext Amsterdam
EUROCOMMERCIAL,NL0015000K93,ECMPA,Euronext Amsterdam
EUROFINS CEREP,FR0013256518,ALECR,Euronext Growth Paris
EUROFINS SCIE NV22,FR0014006O73,ERFNV,Euronext Paris
EUROFINS SCIENT.,FR0014000MR3,ERF,Euronext Paris
EUROLAND CORPORATE,FR0010157115,MLERO,Euronext Access Paris
EUROLOG CANOLA,ES0105586004,MLCAN,Euronext Access Paris
EUROMEDIS GROUPE,FR0000075343,ALEMG,Euronext Growth Paris
EURONAV,BE0003816338,EURN,Euronext Brussels
EURONEXT,NL0006294274,ENX,Euronext Paris
EURONEXT,NL0006294274,ENXP,Euronext Lisbon
EUROPACORP,FR0010490920,ALECP,Euronext Growth Paris
EUROPCAR MOBILITY,FR0012789949,EUCAR,Euronext Paris
EUROPLASMA,FR0013514114,ALEUP,Euronext Growth Paris
EUTELSAT COMMUNIC.,FR0010221234,ETL,Euronext Paris
EVERFUEL,DK0061414711,EFUEL,Euronext Growth Oslo
EVERGREEN,FR0000035784,EGR,Euronext Paris
EVERSET,FR0000044745,MLEVE,Euronext Access Paris
EVOLIS,FR0004166197,ALTVO,Euronext Growth Paris
EVS BROADC.EQUIPM.,BE0003820371,EVS,Euronext Brussels
EXACOMPTA CLAIREF.,FR0000064164,ALEXA,Euronext Growth Paris
EXACT THERAPEUTICS,NO0010852213,EXTX,Euronext Growth Oslo
EXCLUSIVE NETWORKS,FR0014005DA7,EXN,Euronext Paris
EXEL INDUSTRIES,FR0004527638,EXE,Euronext Paris
EXMAR,BE0003808251,EXM,Euronext Brussels
EXPLOSIFS PROD.CHI,FR0014003AQ4,EXPL,Euronext Paris
FACEPHI,ES0105029005,ALPHI,Euronext Growth Paris
FAGRON,BE0003874915,FAGR,Euronext Brussels
FAIFEY INVEST,ES0105553004,MLECE,Euronext Access Paris
FARMINVESTE,PTFNV1AM0002,MLFMV,Euronext Access Lisbon
FASHION B AIR,FR0004034593,ALFBA,Euronext Growth Paris
FASTNED,NL0013654809,FAST,Euronext Amsterdam
FAURECIA,FR0000121147,EO,Euronext Paris
FAUVET GIREL,FR0000063034,FAUV,Euronext Paris
FAYENC.SARREGUEMI.,FR0000031973,FAYE,Euronext Paris
FBD HOLDINGS PLC,IE0003290289,EG7,Euronext Dublin
FD,FR0012300424,MLFDV,Euronext Access Paris
FD TECHNOLOGIES,GB0031477770,GYQ,Euronext Growth Dublin
FDJ,FR0013451333,FDJ,Euronext Paris
FERM.CAS.MUN.CANNE,FR0000062101,FCMC,Euronext Paris
FERMENTALG,FR0011271600,FALG,Euronext Paris
FIDUCIAL OFF.SOL.,FR0000061418,SACI,Euronext Paris
FIDUCIAL REAL EST.,FR0000060535,ORIA,Euronext Paris
FIGEAC AERO,FR0011665280,FGA,Euronext Paris
FIN.ETANG BERRE,FR0000062341,BERR,Euronext Paris
FIN.ETANG BERRE PF,FR0000062507,EBPF,Euronext Paris
FIN.OUEST AFRICAIN,SN0000033192,FOAF,Euronext Paris
FINANCIERE MARJOS,FR0000060824,FINM,Euronext Paris
FINATIS,FR0000035123,FNTS,Euronext Paris
FINAXO,FR0010487272,MLFXO,Euronext Access Paris
FIPP,FR0000038184,FIPP,Euronext Paris
FIRSTCAUTION,CH0120879058,MLFIR,Euronext Access Paris
FLEURY MICHON,FR0000074759,ALFLE,Euronext Growth Paris
FLEXDEAL,PTFXD0AM0018,FLEXD,Euronext Lisbon
FLORIDIENNE,BE0003215143,FLOB,Euronext Brussels
FLOW TRADERS,NL0011279492,FLOW,Euronext Amsterdam
FLOWSPARKS,BE0003847648,UNI,Euronext Access Brussels
FLUTTER ENTERTAIN,IE00BWT6H894,FLTR,Euronext Dublin
FLUXYS BELGIUM D,BE0974265945,FLUX,Euronext Brussels
FLYR,NO0010931900,FLYR,Euronext Growth Oslo
FLYR TR,NO0011198111,FLYRT,Euronext Growth Oslo
FNAC DARTY,FR0011476928,FNAC,Euronext Paris
FNG NV,BE0974332646,FNG,Euronext Brussels
FNPTECHNOLOGIESSA,FR0013230067,MLFNP,Euronext Access Paris
FOCUS HOME INT,FR0012419307,ALFOC,Euronext Growth Paris
FONCIERE 7 INVEST,FR0000065930,LEBL,Euronext Paris
FONCIERE ATLAND,FR0013455482,FATL,Euronext Paris
FONCIERE EURIS,FR0000038499,EURS,Euronext Paris
FONCIERE INEA,FR0010341032,INEA,Euronext Paris
FONCIERE LYONNAISE,FR0000033409,FLY,Euronext Paris
FONCIERE VINDI,FR0011605617,MLVIN,Euronext Access Paris
FONCIERE VOLTA,FR0000053944,SPEL,Euronext Paris
FORESTIERE EQUAT.,CI0000053161,FORE,Euronext Paris
FORFARMERS,NL0011832811,FFARM,Euronext Amsterdam
FORSEE POWER,FR0014005SB3,FORSE,Euronext Paris
FOUNTAIN,BE0003752665,FOU,Euronext Brussels
FOUNTAINE PAJOT,FR0010485268,ALFPC,Euronext Growth Paris
FRANCAISE ENERGIE,FR0013030152,LFDE,Euronext Paris
FRANCE SOIR GROUPE,FR0013222346,MLFSG,Euronext Access Paris
FRANCE TOURISME,FR0010823724,MLFTI,Euronext Access Paris
FREELANCE.COM,FR0004187367,ALFRE,Euronext Growth Paris
FREY,FR0010588079,FREY,Euronext Paris
FUGRO,NL00150003E1,FUR,Euronext Amsterdam
FUT.CLUBE PORTO,PTFCP0AM0008,FCP,Euronext Lisbon
G.A.I.,FR0000053415,MLGAI,Euronext Access Paris
GALAPAGOS,BE0003818359,GLPG,Euronext Amsterdam
GALEO,FR0011100759,MLGAL,Euronext Access Paris
GALIMMO,FR0000030611,GALIM,Euronext Paris
GALP ENERGIA-NOM,PTGAL0AM0009,GALP,Euronext Lisbon
GASCOGNE,FR0000124414,ALBI,Euronext Growth Paris
GAUMONT,FR0000034894,GAM,Euronext Paris
GAUSSIN,FR0013495298,ALGAU,Euronext Growth Paris
GBL,BE0003797140,GBLB,Euronext Brussels
GEA GRENOBL.ELECT.,FR0000053035,GEA,Euronext Paris
GECI INTL,FR0000079634,ALGEC,Euronext Growth Paris
GECINA,FR0010040865,GFC,Euronext Paris
GENERAL ELECTRIC,US3696043013,GNE,Euronext Paris
GENERIX GROUP,FR0010501692,GENX,Euronext Paris
GENEURO,CH0308403085,GNRO,Euronext Paris
GENFIT,FR0004163111,GNFT,Euronext Paris
GENK LOGIST. CERT,BE0003740546,GENK,Euronext Brussels
GENOMIC VISION,FR0011799907,GV,Euronext Paris
GENOWAY,FR0004053510,ALGEN,Euronext Growth Paris
GENSIGHT BIOLOGICS,FR0013183985,SIGHT,Euronext Paris
GENTLEMENS EQUITY,PTGVE1AE0009,MLGEQ,Euronext Access Paris
GEOJUNXION,NL0000430106,GOJXN,Euronext Amsterdam
GEP BSA 2020,FR0013483047,GEPBS,Euronext Growth Paris
GETLINK SE,FR0010533075,GET,Euronext Paris
GEVELOT,FR0000033888,ALGEV,Euronext Growth Paris
GIGANTE SALMON,NO0011013765,GIGA,Euronext Growth Oslo
GIMV,BE0003699130,GIMB,Euronext Brussels
GL EVENTS,FR0000066672,GLO,Euronext Paris
GLANBIA PLC,IE0000669501,GL9,Euronext Dublin
GLENVEAGH PROP.PLC,IE00BD6JX574,GVR,Euronext Dublin
GLINTT,PTPAD0AM0007,GLINT,Euronext Lisbon
GLOBAL BIOENERGIES,FR0011052257,ALGBE,Euronext Growth Paris
GLOBAL PIELAGO,ES0105537007,MLNDG,Euronext Access Paris
GNP ENERGY,NO0010886013,GNP,Euronext Growth Oslo
GOLD BY GOLD,FR0011208693,ALGLD,Euronext Growth Paris
GOLDEN ENERGY OFF,NO0010813843,GEOS,Euronext Growth Oslo
GOUR MEDICAL,FR0013371507,MLGML,Euronext Access Paris
GPE GROUP PIZZORNO,FR0010214064,GPE,Euronext Paris
GPE PAROT (AUTO),FR0013204070,ALPAR,Euronext Growth Paris
GRAINES VOLTZ,FR0000065971,GRVO,Euronext Paris
GREAT WESTERN MIN.,IE00B1FR8863,8GW,Euronext Growth Dublin
GRECEMAR,FR0013406881,MLCMG,Euronext Access Paris
GREEN MINERALS,NO0010907744,GEM,Euronext Growth Oslo
GREENCOAT REN.,IE00BF2NR112,GRP,Euronext Growth Dublin
GREENVOLT,PTGNV0AM0001,GVOLT,Euronext Lisbon
GREENYARD,BE0003765790,GREEN,Euronext Brussels
GROLLEAU,FR0014005ZM5,ALGRO,Euronext Growth Paris
GRONG SPAREBANK,NO0010636491,GRONG,Euronext Growth Oslo
GROUP SFIT,FR00140066X4,MLSFI,Euronext Access Paris
GROUPE BERKEM,FR00140069V2,ALKEM,Euronext Growth Paris
GROUPE CARNIVOR,FR0000076960,MLGRC,Euronext Access Paris
GROUPE CASOL,FR0014003RM7,MLCAS,Euronext Access Paris
GROUPE CRIT,FR0000036675,CEN,Euronext Paris
GROUPE FLO,FR0014004X25,FLO,Euronext Paris
GROUPE GORGE,FR0000062671,GOE,Euronext Paris
GROUPE GUILLIN,FR0012819381,ALGIL,Euronext Growth Paris
GROUPE IRD,FR0000124232,IRD,Euronext Paris
GROUPE JAJ,FR0004010338,GJAJ,Euronext Paris
GROUPE LDLC,FR0000075442,ALLDL,Euronext Growth Paris
GROUPE OPEN,FR0004050300,OPN,Euronext Paris
GROUPE PARTOUCHE,FR0012612646,PARP,Euronext Paris
GROUPE PLUS-VALUES,FR0010529719,MLPVG,Euronext Access Paris
GROUPE SFPI,FR0004155000,SFPI,Euronext Paris
GROUPE TERA,FR0013429404,ALGTR,Euronext Growth Paris
GROUPIMO,FR0014000RP6,ALIMO,Euronext Growth Paris
GT BIOPHARMA INC,US36254L2097,GTBP,Euronext Paris
GTT,FR0011726835,GTT,Euronext Paris
GUANDAO PUER INVES,LU1840650458,MLGDI,Euronext Access Paris
GUERBET,FR0000032526,GBT,Euronext Paris
GUILLEMOT,FR0000066722,GUI,Euronext Paris
H2O INNOVATION INC,CA4433003064,ALHEO,Euronext Growth Paris
HAL TRUST,BMG455841020,HAL,Euronext Amsterdam
HAMILTON GLOBAL OP,GB00BMDXQ672,ALHGO,Euronext Growth Paris
HAMMERSON PLC,GB00BK7YQK64,HMSO,Euronext Dublin
HAMON,BE0974352842,HAMO,Euronext Brussels
HARMONYCHAIN,NO0010921299,HMONY,Euronext Growth Oslo
HAULOTTE GROUP,FR0000066755,PIG,Euronext Paris
HAV GROUP,NO0010931918,HAV,Euronext Growth Oslo
HAVILA KYSTRUTEN,NO0011045429,HKY,Euronext Growth Oslo
HDF,FR0014003VY4,HDF,Euronext Paris
HEALTH,FR0013251584,MLAHC,Euronext Access Paris
HEALTHBEACON SHA,IE00014QAJZ5,HBCN,Euronext Growth Dublin
HEALTHCARE ACTIVOS,ES0105498002,MLHAY,Euronext Access Paris
HEDOSOPHIA ORD SHA,KYG4406A1022,HEGA,Euronext Amsterdam
HEDOSOPHIA UNITS,KYG4406A1287,HEGAU,Euronext Amsterdam
HEDOSOPHIA WARRANT,KYG4406A1105,HEGAW,Euronext Amsterdam
HEIJMANS,NL0009269109,HEIJM,Euronext Amsterdam
HEINEKEN,NL0000009165,HEIA,Euronext Amsterdam
HEINEKEN HOLDING,NL0000008977,HEIO,Euronext Amsterdam
HERIGE,FR0000066540,ALHRG,Euronext Growth Paris
HERMES INTL,FR0000052292,RMS,Euronext Paris
HEXAGON PURUS,NO0010904923,HPUR,Euronext Growth Oslo
HEXAOM,FR0004159473,HEXA,Euronext Paris
HF COMPANY,FR0000038531,ALHF,Euronext Growth Paris
HIBERNIA REIT PLC,IE00BGHQ1986,HBRN,Euronext Dublin
HIGH CO,FR0000054231,HCO,Euronext Paris
HIMALAYA SHIPPING,BMG4660A1036,HSHIP,Euronext Growth Oslo
HIOLLE INDUSTRIES,FR0000077562,ALHIO,Euronext Growth Paris
HIPAY GROUP,FR0012821916,ALHYP,Euronext Growth Paris
HITECHPROS,FR0010396309,ALHIT,Euronext Growth Paris
HK,DE000A11Q133,MLHK,Euronext Access Paris
HOCHE BAINS L.BAIN,FR0000051302,MLHBB,Euronext Access Paris
HÖEGH AUTOLINERS,NO0011082075,HAUTO,Euronext Growth Oslo
HOFFMANN,FR0013451044,ALHGR,Euronext Growth Paris
Holcim Ltd,CH0012214059,HOLN,Euronext Paris
HOLLAND COLOURS,NL0000440311,HOLCO,Euronext Amsterdam
HOME CONCEPT,FR0012336691,MLHCF,Euronext Access Paris
HOME INVEST BE.,BE0003760742,HOMI,Euronext Brussels
HOPENING,FR0010312181,MLHPE,Euronext Access Paris
HOPIUM,FR0014000U63,MLHPI,Euronext Access Paris
HOPSCOTCH GROUPE,FR0000065278,HOP,Euronext Paris
HORISONT ENERGI,NO0010917339,HRGI,Euronext Growth Oslo
HOSTELWORLD GROUP,GB00BYYN4225,HSW,Euronext Dublin
HOT.MAJESTIC CANNE,FR0006226791,MLHMC,Euronext Access Paris
HOTELIM,FR0000053738,MLHOT,Euronext Access Paris
HOTELS DE PARIS,FR0004165801,HDP,Euronext Paris
HOTL.IMMOB.NICE,FR0006563904,MLHIN,Euronext Access Paris
HOUSE OF CONTROL,NO0010781818,HOC,Euronext Growth Oslo
HUDDLESTOCK FINTEC,NO0010859648,HUDL,Euronext Growth Oslo
HUDDLY,NO0010776990,HDLY,Euronext Growth Oslo
HUNTER DOUGLAS,ANN4327C1220,HDG,Euronext Amsterdam
HUNTER DOUGLAS,ANN4327C1303,HUNDP,Euronext Amsterdam
HUNTER GROUP,NO0010283211,HUNT,Euronext Expand Oslo
HYBRID SOFTWARE GR,GB00BYN5BY03,HYSG,Euronext Brussels
HYBRIGENICS,FR0004153930,ALHYG,Euronext Growth Paris
HYDRATEC,NL0009391242,HYDRA,Euronext Amsterdam
HYDRAULIQUE PB,FR0000064735,MLHYD,Euronext Access Paris
HYDRO-EXPLOIT.,FR0005843125,MLHYE,Euronext Access Paris
HYDROGEN REFUELING,FR0014001PM5,ALHRS,Euronext Growth Paris
HYDROGENPRO,NO0010892359,HYPRO,Euronext Growth Oslo
HYLORIS,BE0974363955,HYL,Euronext Brussels
HYNION,NO0010920945,HYN,Euronext Growth Oslo
I.CERAM,FR0014005IU4,ALICR,Euronext Growth Paris
I2PO SHARES,FR0014004J15,I2PO,Euronext Paris
I2PO WARRANTS,FR0014004JF6,I2POW,Euronext Paris
I2S,FR0005854700,ALI2S,Euronext Growth Paris
IANTE INVESTMENTS,ES0105479002,MLINT,Euronext Access Paris
IBA,BE0003766806,IBAB,Euronext Brussels
ICADE,FR0000035081,ICAD,Euronext Paris
ICE FISH FARM,NO0010884794,IFISH,Euronext Growth Oslo
ICE GROUP,NO0010734742,ICEGR,Euronext Expand Oslo
ICELANDIC SALMON,NO0010724701,ISLAX,Euronext Growth Oslo
ID LOGISTICS GROUP,FR0010929125,IDL,Euronext Paris
IDI,FR0000051393,IDIP,Euronext Paris
IDS,FR0000079691,MLIDS,Euronext Access Paris
IDSUD,FR0000062184,ALIDS,Euronext Growth Paris
IEP INVEST,BE0003748622,IEP,Euronext Brussels
IEX GROUP NV,NL0010556726,IEX,Euronext Amsterdam
IGE + XAO,FR0000030827,IGE,Euronext Paris
IGIS NEPTUNE,ES0105551008,MLABC,Euronext Access Paris
IKONISYS,FR00140048X2,ALIKO,Euronext Growth Paris
ILBE,IT0005380602,ALIE,Euronext Growth Paris
IMALLIANCE,FR0010086371,MLIML,Euronext Access Paris
IMCD,NL0010801007,IMCD,Euronext Amsterdam
IMERYS,FR0000120859,NK,Euronext Paris
IMM.PARIS.PERLE,FR0006859039,MLIPP,Euronext Access Paris
IMMERSION,FR0013060100,ALIMR,Euronext Growth Paris
IMMO MCC,BE0974287196,MCC,Euronext Brussels
IMMO MOURY,BE0003893139,IMMOU,Euronext Brussels
IMMOB.DASSAULT,FR0000033243,IMDA,Euronext Paris
IMMOBEL,BE0003599108,IMMO,Euronext Brussels
IMMOPOOL,BE0003866838,IMMOP,Euronext Expert Market
IMOB.C GRAO PARA,PTGPA0AP0007,GPA,Euronext Lisbon
IMPLANET,FR0013470168,ALIMP,Euronext Growth Paris
IMPRIMERIE CHIRAT,FR0000065773,MLIMP,Euronext Access Paris
IMPULSE FITNESS,ES0105590006,MLIFS,Euronext Access Paris
INAPA-INV.P.GESTAO,PTINA0AP0008,INA,Euronext Lisbon
INCLUSIO SA/NV,BE0974374069,INCLU,Euronext Brussels
INDLE FIN.ENTREPR.,FR0000066219,INFE,Euronext Paris
INDUCT,NO0010536048,INDCT,Euronext Growth Oslo
INFOCLIP,FR0011158823,MLIFC,Euronext Access Paris
INFOTEL,FR0000071797,INF,Euronext Paris
ING GROEP N.V.,NL0011821202,INGA,Euronext Amsterdam
INMARK,ES0105511002,MLINM,Euronext Access Paris
INMOSUPA,ES0105473005,MLISP,Euronext Access Paris
INNATE PHARMA,FR0010331421,IPH,Euronext Paris
INNELEC MULTIMEDIA,FR0000064297,ALINN,Euronext Growth Paris
INNOVADERMA PLC,GB00BT9PTW34,MLIDP,Euronext Access Paris
INNOVATIVE RFK SPA,IT0005391161,MLIRF,Euronext Access Paris
INPOST,LU2290522684,INPST,Euronext Amsterdam
INSTABANK,NO0010762792,INSTA,Euronext Growth Oslo
INSTALLUX,FR0000060451,ALLUX,Euronext Growth Paris
INTEGRAGEN,FR0010908723,ALINT,Euronext Growth Paris
INTEGRATED WIND SO,NO0010955883,IWS,Euronext Growth Oslo
INTEGRITAS VIAGER,FR0014003FN0,MLVIE,Euronext Access Paris
INTERPARFUMS,FR0004024222,ITP,Euronext Paris
INTERTRUST,NL0010937058,INTER,Euronext Amsterdam
INTERVEST OFF-WARE,BE0003746600,INTO,Euronext Brussels
INTEXA,FR0000064958,ITXT,Euronext Paris
INTRASENSE,FR0011179886,ALINS,Euronext Growth Paris
INVENTIVA,FR0013233012,IVA,Euronext Paris
INVIBES ADVERTSING,BE0974299316,ALINV,Euronext Growth Paris
IOC HOLDING,BE6200101556,MLIOC,Euronext Access Paris
IPOSA PROPERTIES,ES0105417002,MLIPO,Euronext Access Paris
IPSEN,FR0010259150,IPN,Euronext Paris
IPSOS,FR0000073298,IPS,Euronext Paris
IPSOS NV22,FR00140078W1,IPSNV,Euronext Paris
IRISH CONT. GP.,IE00BLP58571,IR5B,Euronext Dublin
IRISH RES. PROP.,IE00BJ34P519,IRES,Euronext Dublin
ISPD,ES0109429037,ALISP,Euronext Growth Paris
IT LINK,FR0000072597,ALITL,Euronext Growth Paris
ITALY INNOVAZIONI,IT0005336521,MLITN,Euronext Access Paris
ITESOFT,FR0004026151,ITE,Euronext Paris
JACQUES BOGART,FR0012872141,JBOG,Euronext Paris
JACQUET METALS,FR0000033904,JCQ,Euronext Paris
JC DECAUX SA.,FR0000077919,DEC,Euronext Paris
JDE PEET'S,NL0014332678,JDEP,Euronext Amsterdam
JENSEN-GROUP,BE0003858751,JEN,Euronext Brussels
JSA TECHNOLOGY,FR0010680033,MLJSA,Euronext Access Paris
JUST EAT TAKEAWAY,NL0012015705,TKWY,Euronext Amsterdam
KALERA,NO0010874597,KAL,Euronext Growth Oslo
KALRAY,FR0010722819,ALKAL,Euronext Growth Paris
KAUFMAN ET BROAD,FR0004007813,KOF,Euronext Paris
KBC,BE0003565737,KBC,Euronext Brussels
KBC ANCORA,BE0003867844,KBCA,Euronext Brussels
KENDRION,NL0000852531,KENDR,Euronext Amsterdam
KENMARE RESOURCES,IE00BDC5DG00,KMR,Euronext Dublin
KERING,FR0000121485,KER,Euronext Paris
KERLINK,FR0013156007,ALKLK,Euronext Growth Paris
KERRY GROUP PLC,IE0004906560,KRZ,Euronext Dublin
KEYRUS,FR0004029411,ALKEY,Euronext Growth Paris
KEYWARE TECH.,BE0003880979,KEYW,Euronext Brussels
KINEPOLIS GROUP,BE0974274061,KIN,Euronext Brussels
KINGSPAN GROUP PLC,IE0004927939,KRX,Euronext Dublin
KKO INTERNATIONAL,FR0013374667,ALKKO,Euronext Growth Paris
KLARSEN,FR0011038348,ALKLA,Euronext Growth Paris
KLEPIERRE,FR0000121964,LI,Euronext Paris
KLIMVEST,GB00B19RTX44,ALSIM,Euronext Growth Paris
KOMPUESTOS,ES0105425005,ALKOM,Euronext Growth Paris
KORIAN,FR0010386334,KORI,Euronext Paris
KPN KON,NL0000009082,KPN,Euronext Amsterdam
KRAFT BANK,NO0010815103,KRAB,Euronext Growth Oslo
KTESIOS REAL ESTAT,ES0105536009,MLKTS,Euronext Access Lisbon
KUMULUS VAPE,FR0013419876,ALVAP,Euronext Growth Paris
KUMULUSBSA2020,FR0014001KF0,VAPBS,Euronext Growth Paris
KYOTO GROUP,NO0010936750,KYOTO,Euronext Growth Oslo
L'OREAL,FR0000120321,OR,Euronext Paris
LA PERLA FASHION,NL0012191662,ALPER,Euronext Growth Paris
LACROIX GROUP,FR0000066607,LACR,Euronext Paris
LAGARDERE SA,FR0000130213,MMB,Euronext Paris
LANSON-BCC,FR0004027068,ALLAN,Euronext Growth Paris
LARGO,FR0013308582,ALLGO,Euronext Growth Paris
LATECOERE,FR0000032278,LAT,Euronext Paris
LAURENT-PERRIER,FR0006864484,LPE,Euronext Paris
LAVIDE HOLDING,NL0010545679,LVIDE,Euronext Amsterdam
LDC,FR0013204336,LOUP,Euronext Paris
LE TANNEUR,FR0000075673,ALTAN,Euronext Growth Paris
LEBON,FR0000121295,LBON,Euronext Paris
LECTRA,FR0000065484,LSS,Euronext Paris
LECTRA NV22,FR00140078U5,LSSNV,Euronext Paris
LEGRAND,FR0010307819,LR,Euronext Paris
LES AGENCES DE PAP,FR0014003I41,MLPAP,Euronext Access Paris
LES HOTELS BAVEREZ,FR0007080254,ALLHB,Euronext Growth Paris
LESTQBLANC202212BS,FR0013483401,TBMBT,Euronext Growth Paris
LEXIBOOK LINGUIST.,FR0000033599,ALLEX,Euronext Growth Paris
LIFECARE,NO0010591191,LIFE,Euronext Growth Oslo
LINEDATA SERVICES,FR0004156297,LIN,Euronext Paris
LISGRAFICA,PTLIG0AE0002,LIG,Euronext Lisbon
LISI,FR0000050353,FII,Euronext Paris
LITHO FORMAS,PTLIT0AE0005,LIT,Euronext Access Lisbon
LLEIDA,ES0105089009,ALLLN,Euronext Growth Paris
LNA SANTE,FR0004170017,LNA,Euronext Paris
LOCASYSTEM INTL,FR0004155208,MLLOI,Euronext Access Paris
LOGIC INSTRUMENT,FR0000044943,ALLOG,Euronext Growth Paris
LOGIS CONFORT,ES0105333001,MLLOG,Euronext Access Paris
LOMBARD ET MEDOT,FR0006205019,MLCAC,Euronext Access Paris
LOTUS BAKERIES,BE0003604155,LOTB,Euronext Brussels
LUCASBOLS,NL0010998878,BOLS,Euronext Amsterdam
LUCIBEL,FR0011884378,ALUCI,Euronext Growth Paris
LUCIBEL BS,FR0013525953,LUCBS,Euronext Growth Paris
LUMI GRUPPEN,NO0010927288,LUMI,Euronext Growth Oslo
LUMIBIRD,FR0000038242,LBIRD,Euronext Paris
LV4S,BE6201089735,MLV4S,Euronext Access Paris
LVMH,FR0000121014,MC,Euronext Paris
LYSOGENE,FR0013233475,LYS,Euronext Paris
LYTIX BIOPHARMA,NO0010405780,LYTIX,Euronext Growth Oslo
M VEST WATER,NO0010976343,MVW,Euronext Growth Oslo
M.R.M,FR0000060196,MRM,Euronext Paris
M2I,FR0013270626,ALMII,Euronext Growth Paris
MAAT PHARMA,FR0012634822,MAAT,Euronext Paris
MADE,FR0010328302,MLMAD,Euronext Access Paris
MADVERTISE,FR0010812230,ALMNG,Euronext Growth Paris
MAGILLEM,FR0010827741,MLMGL,Euronext Access Paris
MAIS.ANTOINE BAUD,FR0000061657,MLMAB,Euronext Access Paris
MAISON CLIO BLUE,FR0011092089,MLCLI,Euronext Access Paris
MAISONS DU MONDE,FR0013153541,MDM,Euronext Paris
MAJOREL GROUP LUX,LU2382956378,MAJ,Euronext Amsterdam
MAKHEIA GROUP,FR0000072993,ALMAK,Euronext Growth Paris
MAKING SCIENCE,ES0105463006,ALMKS,Euronext Growth Paris
MALIN CORP. PLC,IE00BVGC3741,MLC,Euronext Growth Dublin
